date,number_of_people
2025-06-01,5
2025-06-02,38
2025-06-03,74
2025-06-04,45
2025-06-05,44
2025-06-06,47
2025-06-07,1
2025-06-08,1
2025-06-09,67
2025-06-10,65
2025-06-11,43
2025-06-12,37
2025-06-13,17
2025-06-14,4
2025-06-15,1
2025-06-16,28
2025-06-17,52
2025-06-18,37
2025-06-19,34
2025-06-20,18
2025-06-21,2
2025-06-22,3
2025-06-23,54
2025-06-24,46
2025-06-25,48
2025-06-26,46
2025-06-27,52
2025-06-28,0
2025-06-29,2
2025-06-30,26
2025-07-01,0
2025-07-02,50
2025-07-03,51
2025-07-04,39
2025-07-05,3
2025-07-06,4
2025-07-07,41
2025-07-08,52
2025-07-09,53
2025-07-10,42
2025-07-11,24
2025-07-12,1
2025-07-13,1
2025-07-14,48
2025-07-15,54
2025-07-16,25
2025-07-17,30
2025-07-18,37
2025-07-19,1
2025-07-20,2
2025-07-21,25
2025-07-22,33
2025-07-23,22
2025-07-24,38
2025-07-25,42
2025-07-26,1
2025-07-27,0
2025-07-28,42
2025-07-29,71
2025-07-30,59
2025-07-31,42
2025-08-01,52
2025-08-02,0
2025-08-03,2
2025-08-04,1
2025-08-05,47
2025-08-06,40
2025-08-07,67
2025-08-08,16
2025-08-09,1
2025-08-10,1
2025-08-11,55
2025-08-12,50
2025-08-13,37
2025-08-14,54
2025-08-15,23
2025-08-16,0
2025-08-17,0
2025-08-18,41
2025-08-19,42
2025-08-20,37
2025-08-21,21
2025-08-22,29
2025-08-23,0
2025-08-24,1
2025-08-25,24
2025-08-26,49
2025-08-27,46
2025-08-28,39
2025-08-29,35
2025-08-30,5
2025-08-31,0
2025-09-01,0
2025-09-02,34
2025-09-03,43
2025-09-04,34
2025-09-05,19
2025-09-06,0
2025-09-07,4
2025-09-08,48
2025-09-09,51
2025-09-10,43
2025-09-11,43
2025-09-12,32
2025-09-13,5
2025-09-14,6
2025-09-15,23
2025-09-16,52
2025-09-17,40
2025-09-18,27
2025-09-19,36
2025-09-20,0
2025-09-21,0
2025-09-22,39
2025-09-23,38
2025-09-24,32
2025-09-25,37
2025-09-26,38
2025-09-27,1
2025-09-28,0
2025-09-29,49
2025-09-30,34
2025-10-01,38
2025-10-02,52
2025-10-03,50
2025-10-04,0
2025-10-05,0
2025-10-06,38
2025-10-07,43
2025-10-08,65
2025-10-09,38
2025-10-10,42
2025-10-11,3
2025-10-12,1
2025-10-13,1
2025-10-14,35
2025-10-15,26
2025-10-16,42
2025-10-17,35
